,,,,,,,,,
Timestamp on Tick,Latency After Decode,Bid,Ask,Latency After Decode,Bid,Ask,,1.0949987434,1.266
1396636032.211,12.277,1.36972,1.36982,13.245,1.36972,1.36982,,1.0788466238,0.968
1396636045.337,12.041,1.36971,1.36982,13.074,1.36971,1.36982,,1.0857902168,1.033
1396636045.452,14.89,1.36971,1.36981,16.46,1.36971,1.36981,,1.1054398925,1.57
1396636045.721,12.17,1.36972,1.36981,12.748,1.36972,1.36981,,1.0474938373,0.578
1396636045.722,26.692,1.36971,1.36982,111.72,1.36971,1.36982,,4.1855237524,85.028
1396636048.725,12.965,1.36973,1.36985,13.937,1.36973,1.36985,,1.074971076,0.972
1396636048.952,20.318,1.36971,1.36983,19.011,1.36971,1.36983,,0.9356728024,-1.307
1396636049.113,11.224,1.36972,1.36982,12.302,1.36972,1.36982,,1.096044191,1.078
1396636049.194,13.394,1.36971,1.36983,31.581,1.36971,1.36983,,2.3578467971,18.187
1396636049.926,11.38,1.36972,1.36983,13.044,1.36972,1.36983,,1.1462214411,1.664
1396636050.041,13.163,1.36972,1.36982,14.319,1.36972,1.36982,,1.0878219251,1.156
1396636052.803,12.424,1.36972,1.36981,12.412,1.36972,1.36981,,0.9990341275,-0.012
1396636053.414,16.847,1.36972,1.36982,17.934,1.36972,1.36982,,1.0645218733,1.087
1396636061.948,11.973,1.36971,1.36984,12.742,1.36971,1.36984,,1.064227846,0.769
1396636062.013,11.52,1.36972,1.36984,50.18,1.36972,1.36984,,4.3559027778,38.66
1396636062.312,11.633,1.36973,1.36982,12.178,1.36973,1.36982,,1.0468494799,0.545
1396636070.978,12.089,1.36971,1.36982,13.705,1.36971,1.36982,,1.133675242,1.616
1396636079.737,11.894,1.36971,1.36982,12.7,1.36971,1.36982,,1.0677652598,0.806
1396636089.411,13.241,1.36973,1.36982,14.085,1.36973,1.36982,,1.0637414093,0.844
1396636097.287,14.367,1.36973,1.36981,15.304,1.36973,1.36981,,1.0652189044,0.937
1396636097.993,11.977,1.36972,1.36982,12.535,1.36972,1.36982,,1.0465892962,0.558
1396636097.999,26.052,1.36971,1.36983,107.659,1.36971,1.36983,,4.1324658376,81.607
1396636098.111,12.219,1.36971,1.36982,96.386,1.36971,1.36982,,7.8882068909,84.167
1396636102.779,11.778,1.3697,1.36982,13.285,1.3697,1.36982,,1.127950416,1.507
