Timestamp on Tick,Latency After Decode,Bid,Ask,Latency After Decode,Bid,Ask,,1.1285962349,1.5055
1396643628.024,13.542,1.3698,1.3699,15.066,1.3698,1.3699,,1.1125387683,1.524
1396643628.026,26.932,1.36976,1.36993,110.317,1.36976,1.36993,,4.0961309966,83.385
1396643628.675,10.352,1.36975,1.36993,12.252,1.36975,1.36993,,1.1835394127,1.9
1396643628.716,11.16,1.36973,1.36991,71.076,1.36973,1.36991,,6.3688172043,59.916
1396643628.783,11.002,1.36971,1.36988,105.694,1.36971,1.36988,,9.6067987639,94.692
1396643628.829,11.035,1.36972,1.36988,62.173,1.36972,1.36988,,5.6341640236,51.138
1396643629.013,13.836,1.36972,1.36987,14.902,1.36972,1.36987,,1.0770453888,1.066
1396643629.379,10.926,1.36972,1.36985,12.471,1.36972,1.36985,,1.141405821,1.545
1396643630.533,11.152,1.36972,1.36985,47.219,1.36972,1.36985,,4.2341284075,36.067
1396643631.112,11.542,1.36972,1.36984,12.705,1.36972,1.36984,,1.1007624329,1.163
1396643631.781,18.015,1.36972,1.36984,19.68,1.36972,1.36984,,1.0924229808,1.665
1396643634.061,10.774,1.36971,1.36985,12.288,1.36971,1.36985,,1.1405234825,1.514
1396643634.64,11.104,1.36971,1.36985,12.033,1.36971,1.36985,,1.0836635447,0.929
1396643641.216,11.271,1.36973,1.36988,11.637,1.36973,1.36988,,1.0324727176,0.366
1396643641.223,19.989,1.36974,1.36991,106.119,1.36974,1.36991,,5.3088698784,86.13
1396643641.254,12.892,1.36975,1.36991,75.904,1.36975,1.36991,,5.8876822836,63.012
1396643641.422,12.046,1.36976,1.36991,11.416,1.36976,1.36991,,0.9477004815,-0.63
1396643641.583,12.213,1.36977,1.3699,12.358,1.36977,1.3699,,1.0118725948,0.145
1396643641.584,26.585,1.36976,1.36991,110.784,1.36976,1.36991,,4.1671619334,84.199
1396643645.423,11.637,1.36974,1.36989,12.438,1.36974,1.36989,,1.0688321732,0.801
1396643645.508,12.111,1.36975,1.36989,126.922,1.36975,1.36989,,10.479894311,114.811
1396643645.713,11.197,1.36975,1.36987,23.556,1.36975,1.36987,,2.1037777976,12.359
1396643645.718,24.064,1.36972,1.36987,119.633,1.36972,1.36987,,4.9714511303,95.569
1396643646.537,11.752,1.36972,1.36987,12.333,1.36972,1.36987,,1.0494383935,0.581
1396643646.597,11.074,1.36972,1.36987,52.564,1.36972,1.36987,,4.7466136897,41.49
1396643658.515,11.151,1.36971,1.36987,13.617,1.36971,1.36987,,1.2211460856,2.466
1396643658.524,17.794,1.36973,1.3699,104.867,1.36973,1.3699,,5.8933910307,87.073
1396643658.713,14.489,1.36973,1.36988,16.113,1.36973,1.36988,,1.11208503,1.624
1396643667.689,11.262,1.3697,1.36985,12.618,1.3697,1.36985,,1.1204049014,1.356
1396643669.043,11.833,1.36971,1.36985,12.54,1.36971,1.36985,,1.0597481619,0.707
1396643670.313,11.374,1.36973,1.36985,12.684,1.36973,1.36985,,1.1151749604,1.31
1396643670.32,19.064,1.36973,1.36989,105.773,1.36973,1.36989,,5.5483109526,86.709
1396643670.517,10.437,1.36976,1.36992,108.387,1.36976,1.36992,,10.3848807128,97.95
1396643670.576,10.506,1.36978,1.36991,50.348,1.36978,1.36991,,4.7923091567,39.842
1396643670.872,11.543,1.36978,1.36991,14.274,1.36978,1.36991,,1.2365936065,2.731
1396643686.017,11.969,1.36981,1.36993,13.114,1.36981,1.36993,,1.0956637981,1.145
1396643686.27,11.399,1.3698,1.36993,12.385,1.3698,1.36993,,1.0864988157,0.986
1396643694.623,11.347,1.36982,1.36995,12.833,1.36982,1.36995,,1.130959725,1.486
1396643695.013,12.204,1.36981,1.36995,13.914,1.36981,1.36995,,1.1401179941,1.71
1396643695.072,10.616,1.36984,1.36997,55.827,1.36984,1.36997,,5.2587603617,45.211
1396643703.713,11.45,1.36983,1.36995,11.706,1.36983,1.36995,,1.0223580786,0.256
1396643703.723,16.491,1.36977,1.36995,105.566,1.36977,1.36995,,6.4014310836,89.075
1396643703.822,11.679,1.36976,1.36993,104.684,1.36976,1.36993,,8.9634386506,93.005
1396643703.852,11.338,1.36976,1.36992,75.222,1.36976,1.36992,,6.6345034398,63.884
1396643704.131,11.067,1.36977,1.36991,11.245,1.36977,1.36991,,1.0160838529,0.178
1396643704.26,11.121,1.36978,1.3699,11.199,1.36978,1.3699,,1.0070137578,0.078
1396643706.214,14.068,1.36976,1.3699,14.912,1.36976,1.3699,,1.0599943133,0.844
1396643706.224,21.249,1.36974,1.3699,103.146,1.36974,1.3699,,4.8541578427,81.897
1396643706.669,12.631,1.36975,1.36988,13.42,1.36975,1.36988,,1.062465363,0.789
1396643711.506,11.514,1.36974,1.36988,12.538,1.36974,1.36988,,1.0889352093,1.024
1396643711.971,12.203,1.36973,1.36985,12.617,1.36973,1.36985,,1.0339260837,0.414
