Timestamp on Tick,Latency After Decode,Bid,Ask,,Timestamp on Tick,Latency After Decode,Bid,Ask
1396643646.597,11.074,1.36972,1.36987,,1396643634.061,12.288,1.36971,1.36985
1396643658.515,11.151,1.36971,1.36987,,1396643634.64,12.033,1.36971,1.36985
1396643658.524,17.794,1.36973,1.3699,,1396643641.216,11.637,1.36973,1.36988
1396643658.713,14.489,1.36973,1.36988,,1396643641.22,108.095,1.36972,1.36989
1396643667.689,11.262,1.3697,1.36985,,1396643641.223,106.119,1.36974,1.36991
1396643669.043,11.833,1.36971,1.36985,,1396643641.254,75.904,1.36975,1.36991
1396643670.313,11.374,1.36973,1.36985,,1396643641.422,11.416,1.36976,1.36991
1396643670.32,19.064,1.36973,1.36989,,1396643641.583,12.358,1.36977,1.3699
1396643670.517,10.437,1.36976,1.36992,,1396643641.584,110.784,1.36976,1.36991
1396643670.576,10.506,1.36978,1.36991,,1396643645.423,12.438,1.36974,1.36989
1396643670.872,11.543,1.36978,1.36991,,1396643645.508,126.922,1.36975,1.36989
1396643686.017,11.969,1.36981,1.36993,,1396643645.713,23.556,1.36975,1.36987
1396643686.27,11.399,1.3698,1.36993,,1396643645.715,120.969,1.36974,1.36987
1396643694.623,11.347,1.36982,1.36995,,1396643645.718,119.633,1.36972,1.36987
1396643695.013,12.204,1.36981,1.36995,,1396643646.537,12.333,1.36972,1.36987
1396643695.072,10.616,1.36984,1.36997,,1396643646.597,52.564,1.36972,1.36987
1396643703.713,11.45,1.36983,1.36995,,1396643658.515,13.617,1.36971,1.36987
1396643703.723,16.491,1.36977,1.36995,,1396643658.516,111.302,1.36971,1.36988
1396643703.822,11.679,1.36976,1.36993,,1396643658.524,104.867,1.36973,1.3699
1396643703.852,11.338,1.36976,1.36992,,1396643658.713,16.113,1.36973,1.36988
1396643704.131,11.067,1.36977,1.36991,,1396643667.689,12.618,1.3697,1.36985
1396643704.26,11.121,1.36978,1.3699,,1396643669.043,12.54,1.36971,1.36985
1396643706.214,14.068,1.36976,1.3699,,1396643670.313,12.684,1.36973,1.36985
1396643706.224,21.249,1.36974,1.3699,,1396643670.32,105.773,1.36973,1.36989
1396643706.669,12.631,1.36975,1.36988,,1396643670.517,108.387,1.36976,1.36992
1396643711.506,11.514,1.36974,1.36988,,1396643670.576,50.348,1.36978,1.36991
1396643711.971,12.203,1.36973,1.36985,,1396643670.872,14.274,1.36978,1.36991
1396643712.122,10.661,1.36973,1.36986,,1396643686.017,13.114,1.36981,1.36993
1396643713.003,11.447,1.36971,1.36984,,1396643686.27,12.385,1.3698,1.36993
1396643724.394,13.037,1.36974,1.36985,,1396643694.623,12.833,1.36982,1.36995
1396643724.621,10.743,1.36973,1.36987,,1396643695.013,13.914,1.36981,1.36995
1396643725.051,11.398,1.36974,1.36987,,1396643695.072,55.827,1.36984,1.36997
1396643729.985,11.289,1.36975,1.36987,,1396643703.713,11.706,1.36983,1.36995
1396643733.506,11.625,1.36977,1.36989,,1396643703.716,111.631,1.36981,1.36995
1396643737.524,10.924,1.36978,1.36989,,1396643703.723,105.566,1.36977,1.36995
1396643742.423,11.697,1.36977,1.3699,,1396643703.822,104.684,1.36976,1.36993
1396643743.453,11.659,1.36978,1.3699,,1396643703.852,75.222,1.36976,1.36992
1396643755.294,10.924,1.36974,1.36988,,1396643704.131,11.245,1.36977,1.36991
1396643755.413,12.545,1.36975,1.36988,,1396643704.26,11.199,1.36978,1.3699
1396643755.421,21.625,1.36975,1.3699,,1396643706.214,14.912,1.36976,1.3699
1396643755.61,11.648,1.36976,1.3699,,1396643706.224,103.146,1.36974,1.3699
1396643758.328,10.785,1.36973,1.36987,,1396643706.669,13.42,1.36975,1.36988
1396643764.622,11.085,1.36974,1.36987,,1396643711.506,12.538,1.36974,1.36988
1396643764.82,15.013,1.36976,1.36989,,1396643711.971,12.617,1.36973,1.36985
1396643764.82,40.223,1.36975,1.36989,,1396643712.122,11.305,1.36973,1.36986
1396643766.84,12.783,1.36977,1.36988,,1396643713.003,11.815,1.36971,1.36984
1396643770.974,12.552,1.36975,1.36986,,1396643724.394,14.08,1.36974,1.36985
1396643771.214,11.758,1.36975,1.36986,,1396643724.621,11.875,1.36973,1.36987
1396643775.312,12.1,1.36974,1.36987,,1396643725.051,12.105,1.36974,1.36987
1396643775.32,20.39,1.36971,1.36987,,1396643729.985,12.429,1.36975,1.36987
1396643779.37,10.902,1.36973,1.36985,,1396643733.506,12.914,1.36977,1.36989
1396643797.051,11.23,1.36973,1.36985,,1396643737.524,12.875,1.36978,1.36989
,,,,,1396643742.423,13.043,1.36977,1.3699
,,,,,1396643743.453,11.984,1.36978,1.3699
