Compact Stream Performance Test,,,,,,,,
Timestamp on Tick,Latency After Decode,Bid,Ask,,Timestamp on Tick,Latency After Decode,Bid,Ask
1396635812.611,14.811,1.36985,1.36997,,1396635810.445,122.805,1.36984,1.36997
1396635813.65,13.154,1.36983,1.36997,,1396635810.86,13.001,1.36985,1.36997
1396635813.923,18.175,1.36984,1.36996,,1396635810.904,72.174,1.36984,1.36997
1396635814.013,23.025,1.36984,1.36995,,1396635812.611,14.475,1.36985,1.36997
1396635814.113,33.38,1.36985,1.36995,,1396635813.65,14.813,1.36983,1.36997
1396635814.719,16.248,1.36982,1.36994,,1396635813.923,19.877,1.36984,1.36996
1396635814.802,221.201,1.36981,1.36994,,1396635814.013,34.542,1.36984,1.36995
1396635819.498,27.221,1.3698,1.36994,,1396635814.113,1226.72,1.36985,1.36995
1396635820.865,13.739,1.3698,1.36994,,1396635814.719,644.267,1.36982,1.36994
1396635823.013,26.53,1.36983,1.36991,,1396635814.802,562.862,1.36981,1.36994
1396635823.021,66.121,1.3698,1.36994,,1396635819.498,100.785,1.3698,1.36994
1396635823.116,25.359,1.36979,1.36992,,1396635820.865,14.592,1.3698,1.36994
1396635823.15,17.287,1.36977,1.3699,,1396635823.013,27.647,1.36983,1.36991
1396635823.181,17.168,1.36978,1.3699,,1396635823.021,119.479,1.3698,1.36994
1396635823.413,27.462,1.36976,1.3699,,1396635823.116,118.86,1.36979,1.36992
1396635824.119,23.484,1.36977,1.36988,,1396635823.15,86.312,1.36977,1.3699
1396635824.149,39.627,1.36977,1.36989,,1396635823.181,57.436,1.36978,1.3699
1396635824.536,18.454,1.36978,1.36989,,1396635823.413,28.46,1.36976,1.3699
1396635824.612,15.077,1.36977,1.3699,,1396635824.119,24.701,1.36977,1.36988
1396635824.62,40.68,1.36975,1.3699,,1396635824.149,100.008,1.36977,1.36989
1396635825.111,21.203,1.36978,1.36988,,1396635824.536,61.22,1.36978,1.36989
1396635835.252,12.138,1.36977,1.36989,,1396635824.612,87.316,1.36977,1.3699
1396635836.016,27.337,1.36974,1.36986,,1396635824.62,81.914,1.36975,1.3699
1396635836.058,21.672,1.36972,1.36984,,1396635825.111,22.598,1.36978,1.36988
1396635836.643,100.373,1.3697,1.36982,,1396635835.252,13.935,1.36977,1.36989
1396635838.063,25.187,1.36972,1.36982,,1396635836.016,28.002,1.36974,1.36986
1396635838.119,30.257,1.36972,1.36983,,1396635836.058,72.803,1.36972,1.36984
1396635838.121,55.009,1.36972,1.36985,,1396635836.213,1221.315,1.36973,1.36983
1396635838.215,22.694,1.36972,1.36984,,1396635836.516,938.642,1.36971,1.36983
1396635838.421,22.576,1.36973,1.36983,,1396635836.535,921.336,1.36971,1.36982
1396635840.122,15.24,1.36975,1.36985,,1396635836.641,816.681,1.36972,1.36982
1396635840.122,41.467,1.36974,1.36985,,1396635836.643,817.023,1.3697,1.36982
1396635842.626,29.423,1.36971,1.36982,,1396635838.063,26.445,1.36972,1.36982
1396635842.72,19.772,1.36972,1.36982,,1396635838.119,68.431,1.36972,1.36983
1396635844.619,23.713,1.36972,1.36983,,1396635838.121,163.256,1.36972,1.36985
1396635847.425,19.244,1.36972,1.36982,,1396635838.215,70.729,1.36972,1.36984
1396635850.847,18.824,1.36975,1.36985,,1396635838.421,23.585,1.36973,1.36983
1396635855.306,12.734,1.36974,1.36986,,1396635840.122,16.773,1.36975,1.36985
1396635857.427,10.449,1.36975,1.36985,,1396635840.122,121.317,1.36974,1.36985
1396635858.732,11.478,1.36976,1.36985,,1396635842.626,30.689,1.36971,1.36982
1396635870.72,12.676,1.36976,1.36985,,1396635842.72,32.634,1.36972,1.36982
1396635873.314,11.852,1.36973,1.36987,,1396635844.619,25.331,1.36972,1.36983
1396635873.512,11.247,1.36974,1.36986,,1396635847.425,19.389,1.36972,1.36982
1396635877.57,12.313,1.36976,1.36985,,1396635850.847,19.825,1.36975,1.36985
1396635877.712,10.861,1.36975,1.36986,,1396635855.306,13.51,1.36974,1.36986
1396635877.812,11.575,1.36975,1.36985,,1396635857.427,11.775,1.36975,1.36985
1396635881.064,15.897,1.36973,1.36985,,1396635858.732,12.136,1.36976,1.36985
1396635881.113,11.327,1.36973,1.36984,,1396635870.72,13.935,1.36976,1.36985
1396635883.412,11.146,1.36975,1.36985,,1396635873.314,12.28,1.36973,1.36987
1396635885.712,12.282,1.36976,1.36985,,1396635873.512,11.883,1.36974,1.36986
1396635885.811,11.389,1.36975,1.36985,,1396635877.57,12.679,1.36976,1.36985
1396635896.068,13.653,1.36975,1.36985,,1396635877.712,11.912,1.36975,1.36986
1396635899.419,11.034,1.36975,1.36987,,1396635877.812,13.898,1.36975,1.36985
1396635899.491,11.601,1.36976,1.36987,,1396635881.064,11.841,1.36973,1.36985
1396635899.523,11.683,1.36976,1.36988,,1396635881.113,63.87,1.36973,1.36984
1396635899.555,16.201,1.36979,1.36991,,1396635883.412,11.996,1.36975,1.36985
1396635899.612,11.214,1.36979,1.3699,,1396635885.712,12.919,1.36976,1.36985
1396635901.242,12.28,1.3698,1.36989,,1396635885.811,14.32,1.36975,1.36985
1396635901.616,19.95,1.3698,1.36991,,1396635896.068,14.412,1.36975,1.36985
1396635901.676,12.544,1.36981,1.36991,,1396635899.419,12.517,1.36975,1.36987
1396635906.813,12.309,1.36982,1.36993,,1396635899.491,39.682,1.36976,1.36987
1396635906.831,11.179,1.36982,1.36996,,1396635899.523,109.478,1.36976,1.36988
1396635906.915,12.888,1.36983,1.36996,,1396635899.555,79.699,1.36979,1.36991
1396635907.121,13.587,1.36984,1.36995,,1396635899.612,123.629,1.36979,1.3699
1396635908.811,14.774,1.36983,1.36996,,1396635901.242,12.681,1.3698,1.36989
1396635908.934,13.042,1.36986,1.36998,,1396635901.616,22.035,1.3698,1.36991
1396635909.112,12.53,1.36986,1.36997,,1396635901.676,64.106,1.36981,1.36991
1396635909.96,11.723,1.36986,1.36997,,1396635906.813,12.468,1.36982,1.36993
1396635920.413,11.147,1.36985,1.36997,,1396635906.831,94.844,1.36982,1.36996
1396635920.524,12.05,1.36983,1.36994,,1396635906.915,112.044,1.36983,1.36996
1396635920.718,11.46,1.36981,1.36992,,1396635907.121,13.924,1.36984,1.36995
1396635920.814,15.863,1.36982,1.36992,,1396635908.811,14.893,1.36983,1.36996
1396635920.918,11.732,1.36981,1.36993,,1396635908.934,14.035,1.36986,1.36998
1396635921.008,14.052,1.36982,1.36993,,1396635909.112,13.383,1.36986,1.36997
1396635921.122,11.714,1.36982,1.36992,,1396635909.96,12.587,1.36986,1.36997
1396635921.461,11.484,1.36981,1.36992,,1396635920.413,12.038,1.36985,1.36997
1396635923.88,11.56,1.36983,1.36993,,1396635920.524,13.449,1.36983,1.36994
1396635926.538,14.972,1.36983,1.36993,,1396635920.718,11.845,1.36981,1.36992
1396635931.217,21.632,1.36985,1.36996,,1396635920.814,17.268,1.36982,1.36992
1396635931.518,18.96,1.36985,1.36998,,1396635920.918,13.389,1.36981,1.36993
1396635931.721,11.228,1.36985,1.36996,,1396635921.008,22.219,1.36982,1.36993
1396635936.623,15.288,1.36984,1.36996,,1396635921.122,12.717,1.36982,1.36992
1396635936.715,12.425,1.36981,1.36994,,1396635921.461,11.783,1.36981,1.36992
1396635936.727,20.518,1.36978,1.36991,,1396635923.88,12.715,1.36983,1.36993
1396635936.802,12.42,1.36978,1.3699,,1396635926.538,16.523,1.36983,1.36993
1396635937.013,11.659,1.36979,1.36989,,1396635931.217,21.086,1.36985,1.36996
1396635937.311,11.552,1.36979,1.36991,,1396635931.518,19.108,1.36985,1.36998
1396635937.611,11.028,1.36979,1.3699,,1396635931.721,11.065,1.36985,1.36996
1396635939.111,12.315,1.36979,1.36991,,1396635936.623,15.207,1.36984,1.36996
1396635942.411,12.823,1.3698,1.3699,,1396635936.715,20.932,1.36981,1.36994
1396635943.311,11.376,1.36979,1.36991,,1396635936.727,110.033,1.36978,1.36991
1396635945.811,11.301,1.3698,1.3699,,1396635936.802,133.947,1.36978,1.3699
1396635956.012,13.217,1.36979,1.36991,,1396635937.013,26.044,1.36979,1.36989
1396635963.718,12.984,1.36976,1.3699,,1396635937.311,11.901,1.36979,1.36991
1396635963.86,11.665,1.36976,1.36988,,1396635937.611,12.153,1.36979,1.3699
1396635964.334,13.543,1.36976,1.36986,,1396635939.111,12.872,1.36979,1.36991
1396635964.983,12.318,1.36975,1.36987,,1396635942.411,11.178,1.3698,1.3699
1396635980.712,12.931,1.36976,1.36986,,1396635943.311,11.328,1.36979,1.36991
1396636023.071,15.005,1.36974,1.36984,,1396635945.811,12.344,1.3698,1.3699
1396636028.067,11.937,1.36976,1.36986,,1396635956.012,12.706,1.36979,1.36991
1396636031.305,11.92,1.36974,1.36986,,1396635963.718,12.993,1.36976,1.3699
1396636031.413,12.728,1.36973,1.36984,,1396635963.86,12.457,1.36976,1.36988
1396636031.909,13.246,1.36975,1.36984,,1396635964.334,13.964,1.36976,1.36986
1396636032,11.669,1.36973,1.36984,,1396635964.983,12.412,1.36975,1.36987
1396636032.211,12.277,1.36972,1.36982,,1396635980.712,13.713,1.36976,1.36986
1396636045.337,12.041,1.36971,1.36982,,1396636023.071,16.442,1.36974,1.36984
1396636045.452,14.89,1.36971,1.36981,,1396636028.067,13.071,1.36976,1.36986
1396636045.721,12.17,1.36972,1.36981,,1396636031.305,12.469,1.36974,1.36986
1396636045.722,26.692,1.36971,1.36982,,1396636031.413,13.178,1.36973,1.36984
1396636048.725,12.965,1.36973,1.36985,,1396636031.909,12.689,1.36975,1.36984
